iteration,direction,target,n_start_cells,n_shared_native_start_reference_cells,experiment,source,readout
5,prediction_to_A,RUNX1,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,SMAD3,21,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,SPI1,24,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,SREBF1,32,3,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,STAT1,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,STAT2,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,TCF4,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,ZNF148,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,ZNF532,30,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,ZNF644,32,3,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,ARID2,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,ARID5B,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,BHLHE40,32,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,BHLHE41,18,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,BPTF,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,CNOT10,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,DEAF1,32,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,DNMT1,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,IRF9,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,MAF,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,MEF2C,32,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,MITF,18,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_B,PRDM1,32,2,cite_6tf,GSE335887,GF_V1_6L
