source,outcome_pair,reference,primary,predictor,coverage_k,gallery_K,outcome_mean,uniform_order_expectation
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,6,17,0.9210937499999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,7,17,0.8660714285714286,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,8,17,0.8278125000000001,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,9,17,0.7930208333333334,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,10,17,0.7611249999999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,11,17,0.7292897727272727,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,12,17,0.7041666666666666,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,13,17,0.6904086538461538,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,14,17,0.6750892857142857,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,15,17,0.6658333333333334,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,16,17,0.654140625,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,17,17,0.6439522058823529,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,1,17,1.0,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,2,17,0.9259375000000001,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,3,17,0.9326041666666667,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,4,17,0.9140625,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,5,17,0.9193125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,6,17,0.9210937499999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,7,17,0.8579017857142857,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,8,17,0.815,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,9,17,0.7866666666666666,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,10,17,0.75078125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,11,17,0.73125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,12,17,0.7103906249999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,13,17,0.6969951923076925,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,14,17,0.6765625,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,15,17,0.6631874999999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,16,17,0.6545703125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,G,17,17,0.6439522058823529,0.6439522058823529
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,1,17,1.0,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,2,17,0.97140625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,3,17,0.9642708333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,4,17,0.9518749999999999,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,5,17,0.944625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,6,17,0.9405208333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,7,17,0.8758035714285713,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,8,17,0.82953125,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,9,17,0.7940625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,10,17,0.75340625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,11,17,0.7305965909090909,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,12,17,0.7082552083333334,0.648952205882353
