source,outcome_pair,reference,primary,iteration,rho_T,rho_G,delta_rho,coverage_auc_T,coverage_auc_G,delta_coverage_auc,random_order_expected_auc
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,0,0.6598489065858262,0.6468580275830115,-0.012990879002814704,0.8569742785748949,0.8507664086262161,-0.006207869948678835,0.7132352941176471
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,1,0.40779827896438947,0.5996305497974103,0.1918322708330208,0.7503491589929198,0.7785791772045556,0.028230018211635843,0.6397058823529411
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,2,0.5660493827160493,0.5876543209876542,0.021604938271604923,0.7696708028131038,0.7722885766854732,0.002617773872369389,0.5919117647058824
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,3,0.20258682140772843,0.48797493852536555,0.2853881171176371,0.6613310375826595,0.7205088057907585,0.059177768208098946,0.6121323529411765
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,4,0.656159518773945,0.6831077942684313,0.026948275494486307,0.8116544595350823,0.8199893410547066,0.008334881519624249,0.6783088235294118
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,5,0.4765200398233374,0.6323287329311584,0.15580869310782103,0.7167167967557241,0.7883120749456713,0.07159527818994726,0.6286764705882353
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,6,0.5525356810557536,0.5012376256557227,-0.05129805540003085,0.8518356650858272,0.8314715189174532,-0.02036414616837401,0.7205882352941176
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,7,0.27053933873307684,0.570461646477955,0.2999223077448782,0.6439756172076674,0.7686063786031346,0.12463076139546725,0.6194852941176471
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,8,0.7424030356785256,0.5031052219725203,-0.23929781370600534,0.7717698689138459,0.7397994377246647,-0.03197043118918119,0.6213235294117647
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,9,0.5796300713536751,0.6753091566143988,0.09567908526072377,0.7570742424386454,0.8025627918794008,0.04548854944075542,0.6507352941176471
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,10,0.7222906403940885,0.683692437148876,-0.03859820324521257,0.8034085168844035,0.7966365766106249,-0.006771940273778587,0.6433823529411765
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,11,0.17567138255442177,0.5613819698699372,0.3857105873155154,0.6166878188612618,0.7383956632023781,0.12170784434111637,0.6011029411764706
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,12,0.5671641791044776,0.50249532806422,-0.06466885104025755,0.7520074406232224,0.7317443180737948,-0.020263122549427637,0.6194852941176471
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,13,0.6474954855999218,0.5200750126907756,-0.12742047290914615,0.8120999775587254,0.7771884404642838,-0.034911537094441614,0.6783088235294118
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,14,0.8029556650246304,0.6693410599230827,-0.13361460510154777,0.8597471595890173,0.8420641456054518,-0.01768301398356542,0.7077205882352942
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,15,0.5539134539776419,0.556105266841449,0.0021918128638070966,0.7642875512847398,0.7654553581510761,0.0011678068663363295,0.6139705882352942
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,16,0.8424968139076223,0.7438277273494978,-0.09866908655812456,0.8417556482949001,0.8234535000754724,-0.018302148219427772,0.6323529411764706
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,17,0.5775072188853543,0.7947785381618871,0.21727131927653287,0.830304950570143,0.8669164064141357,0.036611455843992724,0.6930147058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,18,0.3969163025902865,0.5811808715257325,0.18426456893544602,0.7100957820653971,0.7418772996695249,0.03178151760412773,0.6139705882352942
